,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
3829,alb,2004,finance,9.8156,1.4584,11.217,9.3531,0.8604,1.4348,2.9628,6.8533,1.8091,0.9239,0.5302,0.4092,0.9766,1.1641,0.1557,0.8368,0.2773,0.3463,19.4368,47.3954,10.0658,4.1332,21.2157,0.4109,27.1039,1.928,16.0281,finance,0.6293,0.5636,0.8871,0.601,0.3292,0.7208,2.5325,6.0865,0.5173,0.2109,0.2215,0.1225,0.977,0.2558,0.0752,0.6225,0.1555,0.0303,0.1045,4.4404,6.099,2.1578,7.4277,0.1345,4.3791,0.5485,0.3577,0.684497,0.006322,0.009865,0.035031,0.007853
3830,alb,2004,insurance,1.0154,0.225,1.1321,1.1834,0.082,0.3551,0.7406,1.126,0.4918,0.2652,0.0959,0.1279,0.1316,0.3114,0.0445,0.1287,0.038,0.0313,2.9578,5.8134,3.0063,0.4628,1.4581,18.2515,2.5475,0.2882,3.1109,insurance,0.0651,0.0869,0.0895,0.076,0.0314,0.1784,0.6331,1.0,0.1406,0.0605,0.0401,0.0383,0.1317,0.0684,0.0215,0.0957,0.0213,0.0027,0.0159,0.5446,1.8216,0.2416,0.5105,5.9747,0.4116,0.082,0.0694,0.606455,0.00581,0.008032,0.010592,0.006852
3831,alb,2004,obsict,6.8245,0.5413,2.1511,7.1018,0.2027,1.4969,2.3176,3.2444,1.3364,1.355,0.6302,0.4492,1.0028,1.38,0.2288,0.816,0.1042,0.0545,17.3285,62.2213,24.1129,1.7735,0.3262,0.4607,454.587,2.7577,4.3058,obsict,0.4375,0.2092,0.1701,0.4563,0.0775,0.752,1.981,2.8813,0.3822,0.3093,0.2632,0.1345,1.0032,0.3032,0.1105,0.6071,0.0584,0.0048,0.0932,5.8294,14.6104,0.9258,0.1142,0.1508,73.4458,0.7846,0.0961,0.571215,0.072273,0.094113,0.090318,0.084541
3832,alb,2004,oconsumer,2.5977,0.7691,1.2608,2.9437,0.1398,1.5371,1.8077,3.4982,1.1596,1.0714,0.4536,0.3667,0.421,1.7882,0.1292,0.6963,0.0825,0.0344,12.2539,17.8663,8.6209,4.1294,0.884,2.4713,8.59,27.5763,4.0597,oconsumer,0.1665,0.2972,0.0997,0.1892,0.0535,0.7722,1.5452,3.1068,0.3316,0.2446,0.1895,0.1098,0.4211,0.3929,0.0624,0.5181,0.0462,0.003,0.0659,1.6739,5.2235,2.1558,0.3095,0.809,1.3879,7.8457,0.0906,0.368883,0.01174,0.009872,0.023909,0.012815
3833,alb,2004,oservices,0.2913,0.1102,0.1467,0.3305,0.0156,0.1665,0.1973,0.382,0.142,0.1192,0.0506,0.0406,0.0478,0.1944,0.0152,0.0778,0.0092,0.0041,1.3527,1.9867,0.9478,0.4487,0.0961,0.266,0.9525,2.9623,809.667,oservices,0.0187,0.0426,0.0116,0.0212,0.006,0.0836,0.1687,0.3393,0.0406,0.0272,0.0211,0.0122,0.0479,0.0427,0.0073,0.0579,0.0051,0.0004,0.0073,0.1861,0.5743,0.2343,0.0336,0.0871,0.1539,0.8428,18.0669,0.842349,0.012679,0.024347,0.01798,0.016921
6885,alb,2007,primaryagr,777.97,0.3752,0.2351,282.334,5.7849,4.8102,10.3111,16.1836,0.5932,2.4771,0.1722,0.1883,0.3254,0.559,0.0689,0.2178,0.0506,0.0064,6.9901,38.3174,6.4205,0.4932,0.1684,0.2295,70.9873,3.8827,3.9358,primaryagr,48.1302,0.2678,0.043,16.9866,1.3468,2.5928,8.59,13.938,0.1859,0.7171,0.0715,0.0813,0.3255,0.1493,0.0263,0.1391,0.0256,0.0007,0.0445,4.4456,4.2315,0.208344,0.0907,0.0716,18.4485,2.1115,0.148,0.56603,0.02431,0.030895,0.063468,0.028633
6887,alb,2007,energy,19.4061,4.8108,76.0965,17.3539,0.6484,3.8892,5.0793,4.2658,2.0066,3.5535,9.282,1.113,8.1047,2.1543,0.176,0.5762,0.4121,1.036,39.3282,38.0522,117.67,3.2054,0.5106,0.4037,33.4226,3.1867,5.2489,energy,1.2006,3.4337,13.9013,1.0441,0.151,2.0964,4.2315,3.6739,0.6288,1.0287,3.8522,0.4804,8.1064,0.5752,0.0673,0.3678,0.2086,0.1154,0.2505,4.4148,77.5514,1.35398,0.2751,0.1259,8.686,1.733,0.1974,0.437294,0.007275,0.007143,0.071868,0.008501
6894,alb,2007,paperpub,1.0674,0.1301,0.1202,2.0572,0.117,0.2293,0.4553,0.8403,0.3106,34.4047,0.0476,0.3039,0.119,0.5211,0.0266,0.1838,0.0368,0.0057,4.5637,12.7308,2.0302,0.3901,0.2763,0.17,5.388,1.75,2.3054,paperpub,0.066,0.0929,0.022,0.1238,0.0272,0.1236,0.3793,0.7237,0.0973,9.9597,0.0198,0.1312,0.119,0.1391,0.0102,0.1173,0.0186,0.0006,0.0291,1.477,1.338,0.164777,0.1488,0.053,1.4002,0.9517,0.0867,0.356463,0.00919,0.007355,0.009164,0.009617
6904,alb,2007,distribution,53.5321,3.6015,6.3157,75.7897,0.9568,9.8748,23.8262,18.8955,9.8108,9.6527,1.6626,4.0268,11.3553,12.7462,1.9037,4.8966,1.0078,0.1219,163.398,1753.27,54.5891,4.2263,1.1916,1.2288,46.488,22.0582,22.8652,distribution,3.3118,2.5706,1.1538,4.5599,0.2228,5.3227,19.8491,16.2736,3.0743,2.7943,0.69,1.7379,11.3577,3.4035,0.7278,3.126,0.5101,0.0136,1.0406,203.414,35.9774,1.7852,0.642,0.3832,12.0815,11.9957,0.8598,0.605821,0.112392,0.152882,0.179414,0.132424
6905,alb,2007,transport,4.2885,1.395,1.9618,5.6512,0.1206,1.3778,2.6003,2.5362,1.9061,1.4274,0.3604,1.1104,1.7765,2.6805,0.2107,0.7673,0.1287,0.0431,33.296,72.3151,535.814,3.5974,0.3254,0.3155,8.7452,3.025,6.5741,transport,0.2653,0.9957,0.3584,0.34,0.0281,0.7427,2.1663,2.1843,0.5973,0.4132,0.1496,0.4792,1.7769,0.7157,0.0806,0.4898,0.0651,0.0048,0.2121,8.39,353.133,1.51957,0.1753,0.0984,2.2727,1.6451,0.2472,0.390883,0.301633,0.264728,0.195185,0.268267
6906,alb,2007,communcation,3.5326,0.6514,0.5724,4.22,0.1689,1.0188,1.809,1.9126,1.2774,1.3835,0.1415,0.5218,0.5897,1.6296,0.1588,0.6488,0.105,0.0285,13.2712,61.2358,11.8796,126.542,2.1888,1.202,13.3939,3.755,6.1861,communcation,0.2185,0.465,0.1046,0.2539,0.0393,0.5492,1.507,1.6472,0.4003,0.4005,0.0587,0.2252,0.5898,0.4351,0.0607,0.4142,0.0532,0.0032,0.0845,7.1046,7.8293,53.4522,1.1792,0.3749,3.4809,2.042,0.2326,0.667113,0.027424,0.041077,0.042789,0.033287
6907,alb,2007,finance,13.7202,3.2756,2.5046,12.4195,1.0022,2.1184,3.6879,7.9504,2.3412,1.2011,0.4106,0.6647,0.871,1.7693,0.2126,1.0176,0.3425,0.1657,34.8843,72.126,13.3252,4.9163,44.4134,0.5592,43.2908,4.5275,23.2047,finance,0.8488,2.338,0.4575,0.7472,0.2333,1.1418,3.0723,6.8472,0.7336,0.3477,0.1704,0.2869,0.8712,0.4724,0.0813,0.6496,0.1733,0.0185,0.2222,8.3681,8.7821,2.07666,23.9273,0.1744,11.2506,2.4621,0.8726,0.674653,0.012368,0.018735,0.03992,0.015177
6908,alb,2007,insurance,1.4055,0.5598,0.3328,1.5858,0.0938,0.5638,0.9704,1.3084,0.7016,0.3907,0.0642,0.2262,0.1318,0.4844,0.0656,0.1542,0.0466,0.016,5.3302,8.6694,4.0686,0.538,2.9619,26.5783,4.0008,0.6696,4.4695,insurance,0.087,0.3995,0.0608,0.0954,0.0218,0.3039,0.8085,1.1268,0.2199,0.1131,0.0266,0.0976,0.1318,0.1293,0.0251,0.0984,0.0236,0.0018,0.0339,1.0058,2.6815,0.227267,1.5957,8.2885,1.0398,0.3642,0.1681,0.598082,0.004889,0.006566,0.009861,0.005649
6909,alb,2007,obsict,9.2169,2.0887,1.0701,9.332,0.2233,2.2882,2.8732,3.5523,1.9957,1.9779,0.3035,0.7489,1.1497,2.0083,0.2814,0.9249,0.1213,0.0331,30.1977,89.4636,26.2771,1.9024,0.6066,0.5847,719.631,6.0967,5.3927,obsict,0.5702,1.4908,0.1955,0.5615,0.052,1.2334,2.3936,3.0594,0.6254,0.5726,0.126,0.3232,1.1499,0.5363,0.1076,0.5904,0.0614,0.0037,0.1923,10.3796,17.3182,0.803592,0.3268,0.1823,187.021,3.3155,0.2028,0.54978,0.114677,0.141559,0.120025,0.132179
6910,alb,2007,oconsumer,3.5501,1.8769,0.3671,3.9336,0.157,2.4595,2.3435,4.0096,1.5625,1.5844,0.176,0.6404,0.4789,2.7622,0.1806,0.8417,0.0981,0.0172,22.0865,26.2792,11.1998,4.7731,1.726,3.3592,13.2144,66.8643,5.3327,oconsumer,0.2196,1.3397,0.0671,0.2367,0.0366,1.3257,1.9524,3.4532,0.4896,0.4586,0.0731,0.2764,0.479,0.7376,0.069,0.5374,0.0496,0.0019,0.1407,3.0489,7.3813,2.01619,0.9299,1.0476,3.4342,36.3624,0.2005,0.364108,0.033097,0.027058,0.034129,0.03534
6911,alb,2007,oservices,0.4122,0.4727,0.044,0.4584,0.0182,0.2745,0.2638,0.455,0.2463,0.1901,0.0206,0.0743,0.0575,0.3102,0.0216,0.0971,0.0114,0.0021,2.5605,3.0257,1.2722,0.5348,0.1935,0.3726,1.5155,7.3997,1155.92,oservices,0.0255,0.3374,0.008,0.0276,0.0042,0.1479,0.2198,0.3919,0.0772,0.055,0.0086,0.0321,0.0575,0.0828,0.0082,0.062,0.0058,0.0002,0.0163,0.351,0.8384,0.225888,0.1042,0.1162,0.3939,4.0241,43.4681,0.843476,0.018222,0.03451,0.026273,0.0245
9963,alb,2011,primaryagr,1025.5,0.72,0.27,373.09,6.32,8.84,15.99,23.78,0.75,3.34,0.46,0.3,1.12,0.84,0.16,0.41,0.08,0.01,7.96,49.29,8.31,0.62,0.21,0.3,90.28,4.49,4.77,primaryagr,71.22,0.57,0.05,20.31,0.39,5.75,13.65,20.78,0.19,0.98,0.21,0.15,1.12,0.28,0.11,0.32,0.04,0.0,0.05,4.78,5.09,0.23,0.1,0.08,19.8,2.26,0.15,0.5802,0.028,0.0358,0.068,0.0331
9965,alb,2011,energy,19.82,5.8,80.38,17.86,0.55,4.6,5.27,4.37,1.78,3.59,9.86,1.39,12.86,2.15,0.27,0.75,0.42,1.32,34.66,38.99,114.74,3.02,0.47,0.39,31.99,2.84,5.08,energy,1.38,4.61,14.88,0.97,0.03,2.99,4.5,3.82,0.46,1.05,4.56,0.71,12.87,0.71,0.18,0.57,0.23,0.12,0.22,3.78,70.31,1.11,0.22,0.1,7.02,1.43,0.16,0.4417,0.0062,0.006,0.056,0.0072
9972,alb,2011,paperpub,1.44,0.22,0.13,2.69,0.13,0.42,0.7,1.21,0.37,44.49,0.11,0.46,0.39,0.75,0.06,0.33,0.05,0.01,4.99,15.91,2.52,0.47,0.32,0.21,6.7,1.97,2.75,paperpub,0.1,0.17,0.02,0.15,0.01,0.27,0.59,1.06,0.1,13.05,0.05,0.23,0.39,0.25,0.04,0.25,0.03,0.0,0.03,1.54,1.54,0.17,0.16,0.06,1.47,0.99,0.09,0.3641,0.0095,0.0076,0.0092,0.0099
9982,alb,2011,distribution,70.58,5.69,6.77,97.45,1.02,17.4,35.51,26.8,11.47,12.49,3.37,6.0,35.19,18.04,4.28,8.84,1.46,0.17,174.48,2124.37,65.04,5.01,1.39,1.52,56.87,24.51,26.99,distribution,4.9,4.52,1.25,5.3,0.06,11.31,30.31,23.41,2.94,3.67,1.56,3.06,35.2,5.91,2.88,6.77,0.8,0.02,1.1,206.16,39.86,1.84,0.67,0.4,12.47,12.34,0.86,0.6128,0.0903,0.1222,0.1691,0.1059
9983,alb,2011,transport,6.12,2.84,2.3,7.94,0.14,2.64,4.23,3.93,2.5,2.03,0.66,1.81,7.68,4.23,0.52,1.5,0.21,0.07,39.46,97.23,653.72,4.62,0.41,0.42,11.61,3.69,8.55,transport,0.43,2.26,0.43,0.43,0.01,1.71,3.61,3.44,0.64,0.6,0.31,0.92,7.69,1.38,0.35,1.15,0.11,0.01,0.25,9.44,400.61,1.7,0.2,0.11,2.55,1.86,0.27,0.4261,0.2508,0.2358,0.1783,0.2316
9984,alb,2011,communcation,4.75,1.1,0.63,5.55,0.18,1.83,2.75,2.77,1.52,1.82,0.28,0.79,1.96,2.34,0.36,1.15,0.16,0.05,14.53,76.1,14.64,147.87,2.55,1.48,16.62,4.23,7.4,communcation,0.33,0.87,0.12,0.3,0.01,1.19,2.35,2.42,0.39,0.53,0.13,0.4,1.96,0.77,0.24,0.88,0.08,0.0,0.09,7.39,8.97,54.31,1.22,0.39,3.65,2.13,0.24,0.6769,0.022,0.0329,0.0368,0.0266
9985,alb,2011,finance,18.46,5.01,2.74,16.36,1.08,3.79,5.61,11.45,2.69,1.56,0.64,1.01,2.54,2.55,0.48,1.81,0.5,0.27,37.85,90.49,15.95,5.9,51.09,0.7,53.93,5.15,29.95,finance,1.28,3.98,0.51,0.89,0.07,2.46,4.78,10.01,0.69,0.46,0.3,0.51,2.54,0.84,0.33,1.39,0.28,0.02,0.24,8.78,9.77,2.17,24.52,0.18,11.83,2.59,0.96,0.6887,0.01,0.0152,0.0372,0.0122
9986,alb,2011,insurance,1.93,0.95,0.37,2.12,0.1,1.03,1.5,1.92,0.84,0.52,0.12,0.35,0.41,0.71,0.15,0.28,0.07,0.03,5.92,11.12,5.07,0.66,3.5,32.41,5.09,0.78,5.85,insurance,0.13,0.75,0.07,0.12,0.01,0.67,1.28,1.67,0.22,0.15,0.05,0.18,0.41,0.23,0.1,0.22,0.04,0.0,0.04,1.08,3.11,0.24,1.68,8.55,1.12,0.39,0.19,0.6141,0.0039,0.0053,0.0091,0.0046
9987,alb,2011,obsict,12.19,4.17,1.17,12.15,0.24,4.08,4.36,5.1,2.48,2.61,0.64,1.14,3.91,2.9,0.62,1.68,0.18,0.05,32.81,110.76,32.9,2.28,0.71,0.72,869.5,6.83,6.51,obsict,0.85,3.31,0.22,0.66,0.01,2.65,3.72,4.46,0.64,0.77,0.3,0.58,3.91,0.95,0.42,1.29,0.1,0.0,0.21,10.75,20.16,0.84,0.34,0.19,190.69,3.44,0.21,0.5592,0.0923,0.1139,0.1014,0.1059
9988,alb,2011,oconsumer,4.79,3.02,0.41,5.19,0.17,4.43,3.59,5.78,1.83,2.08,0.43,0.97,1.64,3.97,0.41,1.47,0.15,0.03,24.04,33.08,13.94,5.7,2.03,4.15,16.49,73.86,6.47,oconsumer,0.33,2.4,0.08,0.28,0.01,2.88,3.07,5.05,0.47,0.61,0.2,0.5,1.64,1.3,0.28,1.13,0.08,0.0,0.15,3.21,8.55,2.09,0.97,1.09,3.62,37.18,0.21,0.3717,0.0266,0.0218,0.0312,0.0285
9989,alb,2011,oservices,0.56,0.96,0.05,0.61,0.02,0.5,0.41,0.67,0.32,0.26,0.05,0.11,0.2,0.45,0.05,0.17,0.02,0.0,2.84,3.85,1.6,0.65,0.23,0.46,1.91,8.26,1361.64,oservices,0.04,0.76,0.01,0.03,0.0,0.32,0.35,0.58,0.08,0.08,0.02,0.06,0.2,0.15,0.03,0.13,0.01,0.0,0.02,0.37,0.98,0.24,0.11,0.12,0.42,4.16,43.6,0.845,0.0147,0.0273,0.0213,0.0193
